id,cons,pain points
360,Finding a good project role early on can be a bit of a lottery and you might be sitting on the bench for a long time which can be demoralising.,difficulty finding good project role
360,Finding a good project role early on can be a bit of a lottery and you might be sitting on the bench for a long time which can be demoralising.,potential for long periods of inactivity
361,"All dependent on who you work with, pyramid scheme due to partnership structure, low compensation",depending on colleagues
361,"All dependent on who you work with, pyramid scheme due to partnership structure, low compensation",pyramid scheme due to partnership structure
361,"All dependent on who you work with, pyramid scheme due to partnership structure, low compensation",low compensation
362,Can get very busy at times!,getting very busy at times
363,sometimes work timings are odd,odd work timings
364,"High expectations to deliver on project work and internal requirements 
Hours can be long
Work can be challenging and stressful at times",high expectations for project work and internal requirements
364,"High expectations to deliver on project work and internal requirements 
Hours can be long
Work can be challenging and stressful at times",long hours
364,"High expectations to deliver on project work and internal requirements 
Hours can be long
Work can be challenging and stressful at times",challenging and stressful work
365,Big corporate sometimes means less responsibility and flexibility,less responsibility and flexibility in big corporations
366,"Slightly political
Low pay 
Long hours (at times)",slightly political
366,"Slightly political
Low pay 
Long hours (at times)",low pay
366,"Slightly political
Low pay 
Long hours (at times)",long hours
367,Process can be quite big,complex or large process
368,Forward facing client interaction which may not be for everyone,forward facing client interaction may not be suitable for all employees
369,Some of the partners can't be trusted. Workload can be oppressive.,untrustworthy partners
369,Some of the partners can't be trusted. Workload can be oppressive.,oppressive workload
370,Limited growth across the firm with the fruits of junior labour ending up in Partner pay-checks - turning the company into a churn machine,limited growth
370,Limited growth across the firm with the fruits of junior labour ending up in Partner pay-checks - turning the company into a churn machine,unfair compensation
370,Limited growth across the firm with the fruits of junior labour ending up in Partner pay-checks - turning the company into a churn machine,high employee turnover
371,hard to fit if if not a white man,difficulty fitting in if not a white man
372,"Hours, difficult to get a secondment into other divisions",difficult to get a secondment into other divisions
372,"Hours, difficult to get a secondment into other divisions",long hours
373,Busy season has long hours,long hours during busy season
374,bad work and life balance,bad work and life balance
375,Very structured compensation schedule . Doesn't recognise industry experience - stuck on the band with gradual increase - hard to get big raises,doesn't recognize industry experience
375,Very structured compensation schedule . Doesn't recognise industry experience - stuck on the band with gradual increase - hard to get big raises,lack of significant raises
375,Very structured compensation schedule . Doesn't recognise industry experience - stuck on the band with gradual increase - hard to get big raises,gradual increase compensation
376,structures can be complex for new joiner,complex structures for new joiners
377,long hours and difficult to manage time,long hours
377,long hours and difficult to manage time,difficulty managing time
378,long hours and difficult to manage time,long hours
378,long hours and difficult to manage time,difficulty managing time
379,Sometimes long hours are required.,long hours required
380,In-person internship cancelled due to COVID though that's not their fault,cancelled in-person internship due to COVID
381,structure can be quite rigid,rigid structure
382,"salary, remuneration, hours and poor bonus",low salary
382,"salary, remuneration, hours and poor bonus",poor bonuses
382,"salary, remuneration, hours and poor bonus",long hours
383,"Salary, promotion cycles is once a year, the more senior you become the more your career is dependant on your network and partner relationship",low salary
383,"Salary, promotion cycles is once a year, the more senior you become the more your career is dependant on your network and partner relationship",infrequent promotion cycles
383,"Salary, promotion cycles is once a year, the more senior you become the more your career is dependant on your network and partner relationship",dependence on network and partner relationships for career advancement
384,Long hours (especially in busy season),long hours
384,Long hours (especially in busy season),especially in busy season
385,Sometimes working at the company can be stressful but that’s same for any job.,stressful work environment
386,"Work life balance, progression in internal roles",poor work life balance
386,"Work life balance, progression in internal roles",lack of progression in internal roles
387,there have been none noted here,
388,sometimes it is hard to work from home and find that balance between being at home and on client site,difficulty finding balance between working from home and client site
389,"The pay, especially bonuses could be more competitive",low pay
389,"The pay, especially bonuses could be more competitive",uncompetitive bonuses
390,Long hours depending on certain projects although there is a lot of emphasis on work life balance,long hours on certain projects
391,"very little internal mobility
senior management should work on listening to needs of staf",very little internal mobility
391,"very little internal mobility
senior management should work on listening to needs of staf",lack of management responsiveness to staff needs
392,Hours can be long based on project,long hours due to projects
393,#NAME?,lower pay and financial rewards compared to other professional services companies
394,Too much pressure and the pay is not great,too much pressure
394,Too much pressure and the pay is not great,poor pay
395,"Terrible for well-being, poorly remunerated, a company that pretends to care but in reality that is not the case, nasty & competitive working environment.",terrible for well-being
395,"Terrible for well-being, poorly remunerated, a company that pretends to care but in reality that is not the case, nasty & competitive working environment.",poorly remunerated
395,"Terrible for well-being, poorly remunerated, a company that pretends to care but in reality that is not the case, nasty & competitive working environment.",nasty & competitive working environment
395,"Terrible for well-being, poorly remunerated, a company that pretends to care but in reality that is not the case, nasty & competitive working environment.",insincere company culture
396,"Long hours, can get really busy",long hours
396,"Long hours, can get really busy",becoming very busy
397,compensation is on the lower side compared to Industry,lower than industry average compensation
398,"Very bad work/life balance. Performance reviews are not necessarily fair. No matter how good the work is that you deliver, unless you make a lot of noise you will be seen as underperforming. Compensation is not great compared to competitors.",very bad work/life balance
398,"Very bad work/life balance. Performance reviews are not necessarily fair. No matter how good the work is that you deliver, unless you make a lot of noise you will be seen as underperforming. Compensation is not great compared to competitors.",unfair performance reviews
398,"Very bad work/life balance. Performance reviews are not necessarily fair. No matter how good the work is that you deliver, unless you make a lot of noise you will be seen as underperforming. Compensation is not great compared to competitors.",feeling of need to make noise to be recognized
398,"Very bad work/life balance. Performance reviews are not necessarily fair. No matter how good the work is that you deliver, unless you make a lot of noise you will be seen as underperforming. Compensation is not great compared to competitors.",lower compensation compared to competitors
399,"Complex structure which can be difficult to navigate and find your way in
Partnership model",complex structure
399,"Complex structure which can be difficult to navigate and find your way in
Partnership model",difficulty navigating
400,"Work life balance is one, and the need to create a network",poor work life balance
400,"Work life balance is one, and the need to create a network",need to create a network
401,hard work and long hours,hard work
401,hard work and long hours,long hours
402,"Repetitive work/boring work at times, within audit",repetitive
402,"Repetitive work/boring work at times, within audit",boring work in audit
403,The culture is workaholic and that does mean sacrifices.,workaholic culture
403,The culture is workaholic and that does mean sacrifices.,sacrifices required
404,Limited transparency over career progression,limited transparency over career progression
405,"Hours, no work life balance, unrealistic expectations",long hours
405,"Hours, no work life balance, unrealistic expectations",lack of work-life balance
405,"Hours, no work life balance, unrealistic expectations",unrealistic expectations
406,"Bit of a machine, can fee like a cog in the wheel",treated like a machine
406,"Bit of a machine, can fee like a cog in the wheel",lack of individual recognition
407,Salary is low especially on senior levels,low salary on senior levels
408,"Success relies a lot on networks, difficult to know who knows what, internal HR / finance systems are terrible",reliance on networks to succeed
408,"Success relies a lot on networks, difficult to know who knows what, internal HR / finance systems are terrible",poor internal HR/finance systems
409,"bad hours, lack of office spaces",bad hours
409,"bad hours, lack of office spaces",lack of office spaces
410,"Extremely over worked, expected to be online at all times",extreme workload
410,"Extremely over worked, expected to be online at all times",expectation of constant availability
411,"Extremely over worked, expected to be online at all times",extreme workload
411,"Extremely over worked, expected to be online at all times",expectation of constant availability
412,None that come to mind,
413,"Llimited mentoring, opportunities to develop, limited development",limited mentoring
413,"Llimited mentoring, opportunities to develop, limited development",lack of development opportunities
414,"Pay is ok, not bad hours though",long hours
415,"Culture is far from diverse, the partnership structure makes everything unnecessarily complicated and slow. Everything is done for partner bonus",non-diverse culture
415,"Culture is far from diverse, the partnership structure makes everything unnecessarily complicated and slow. Everything is done for partner bonus",complicated partnership structure
415,"Culture is far from diverse, the partnership structure makes everything unnecessarily complicated and slow. Everything is done for partner bonus",slow processes
415,"Culture is far from diverse, the partnership structure makes everything unnecessarily complicated and slow. Everything is done for partner bonus",partner bonuses focused on
416,Small fish in big ocean,feeling insignificant or undervalued
417,graduates entry salary has been stagnant over the past 10 years,stagnant graduates entry salary over the past 10 years
418,"Workload a bit high, salary",high workload
418,"Workload a bit high, salary",low salary
419,"Nothing but Salary Can be Better,",dissatisfaction with salary
420,work load here is a con,heavy workload
421,Long working hours with upto 16-17 hrs of work during busy period. There is little to no personal life and even that is not adequate to impress your already biased bosses. The salary is peanuts for the amount of work expected. There is always a wellness survey conducted every year. But they don't take the results seriously. They are only obsessed with billing hours.,long working hours
421,Long working hours with upto 16-17 hrs of work during busy period. There is little to no personal life and even that is not adequate to impress your already biased bosses. The salary is peanuts for the amount of work expected. There is always a wellness survey conducted every year. But they don't take the results seriously. They are only obsessed with billing hours.,insufficient personal life
421,Long working hours with upto 16-17 hrs of work during busy period. There is little to no personal life and even that is not adequate to impress your already biased bosses. The salary is peanuts for the amount of work expected. There is always a wellness survey conducted every year. But they don't take the results seriously. They are only obsessed with billing hours.,low salary
421,Long working hours with upto 16-17 hrs of work during busy period. There is little to no personal life and even that is not adequate to impress your already biased bosses. The salary is peanuts for the amount of work expected. There is always a wellness survey conducted every year. But they don't take the results seriously. They are only obsessed with billing hours.,lack of consideration for wellness survey results
421,Long working hours with upto 16-17 hrs of work during busy period. There is little to no personal life and even that is not adequate to impress your already biased bosses. The salary is peanuts for the amount of work expected. There is always a wellness survey conducted every year. But they don't take the results seriously. They are only obsessed with billing hours.,obsession with billing hours
422,"Work hours highly variable depending on your team
Often a culture of implicit overtime working for no pay on evening and weekends especially in busy season. You need to make a strong effort to push back and set boundaries with some managers
Audit work can feel meaningless and just a tick box exercise
Underpaid for your experience",highly variable work hours
422,"Work hours highly variable depending on your team
Often a culture of implicit overtime working for no pay on evening and weekends especially in busy season. You need to make a strong effort to push back and set boundaries with some managers
Audit work can feel meaningless and just a tick box exercise
Underpaid for your experience",culture of implicit overtime
422,"Work hours highly variable depending on your team
Often a culture of implicit overtime working for no pay on evening and weekends especially in busy season. You need to make a strong effort to push back and set boundaries with some managers
Audit work can feel meaningless and just a tick box exercise
Underpaid for your experience",feeling of meaninglessness
422,"Work hours highly variable depending on your team
Often a culture of implicit overtime working for no pay on evening and weekends especially in busy season. You need to make a strong effort to push back and set boundaries with some managers
Audit work can feel meaningless and just a tick box exercise
Underpaid for your experience",underpayment for experience
423,Promotion is unclear - very much depending on who you know/years that you have worked for rather than actual achievements.,unclear promotion criteria
423,Promotion is unclear - very much depending on who you know/years that you have worked for rather than actual achievements.,favoritism in promotion
424,Need network to climb higher in the hierarchy,need network to advance in hierarchy
425,"High workload, pressure, low salary",high workload
425,"High workload, pressure, low salary",pressure
425,"High workload, pressure, low salary",low salary
426,"Low pay
Long hours
Lot of ground work",low pay
426,"Low pay
Long hours
Lot of ground work",long hours
426,"Low pay
Long hours
Lot of ground work",lot of ground work
427,"Time management, pay, travelling, under resourced projects",poor time management
427,"Time management, pay, travelling, under resourced projects",low pay
427,"Time management, pay, travelling, under resourced projects",frequent travel
427,"Time management, pay, travelling, under resourced projects",under-resourced projects
428,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",long hours
428,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",difficulty getting promoted
428,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",lack of salary increase during covid
428,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",guilt about getting on first project
428,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",travel may be a pain point
429,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",long hours
429,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",difficulty getting promoted
429,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",lack of salary increase during covid
429,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",guilt about getting on first project
429,"Long hours
Feels like you have to jump through hoops for a promotion
Benefits
Travel
Can be difficult to get on your first project and you can feel guilty about it
No salary increase during covid despite the firm still making plenty of profit",travel may be a pain point
430,Internal politics - not easy to get a good team or be om great clients,internal politics
430,Internal politics - not easy to get a good team or be om great clients,difficulty getting a good team
430,Internal politics - not easy to get a good team or be om great clients,difficulty working with great clients
431,"Strong network culture pushing people to focus on the ""visibility""",strong network culture emphasizing visibility over other aspects
432,Time consuming and asked to contribute to development,time-consuming
432,Time consuming and asked to contribute to development,requirement to contribute to development
433,Work hours are very long sometimes eat lunch at table,long work hours
433,Work hours are very long sometimes eat lunch at table,eating lunch at desk
434,"Lots of protection - can be essentially ignored by management sometimes, rarely directly client facing at junior level",protection not consistently enforced by management
434,"Lots of protection - can be essentially ignored by management sometimes, rarely directly client facing at junior level",lack of client interaction at junior level
435,Low salary and competitive environment,low salary
435,Low salary and competitive environment,competitive environment
436,"Pay, large, company, changes, no choice in projects",changes in company
436,"Pay, large, company, changes, no choice in projects",lack of choice in projects
436,"Pay, large, company, changes, no choice in projects",pay concerns
437,"Focus on partner profit means employees can feel short changed, long hours",focus on partner profit
437,"Focus on partner profit means employees can feel short changed, long hours",long hours
438,The typical large corporate negatives. Slow pace back office. Difficult to stand out. Nothing particular about Deloitte though.,slow pace back office
438,The typical large corporate negatives. Slow pace back office. Difficult to stand out. Nothing particular about Deloitte though.,difficulty standing out
439,"If you land on a less useful project, your experience may differ, Deloitte appears to pay lower than industry alternatives",less useful projects
439,"If you land on a less useful project, your experience may differ, Deloitte appears to pay lower than industry alternatives",lower compensation compared to industry alternatives
440,poor salary- below industry standard,poor salary
440,poor salary- below industry standard,below industry standard
441,You feel tiny as part of a very large firm,feeling small in a large company
442,Can be hierarchical at times,hierarchical tendencies
443,"Long hours sometimes demanding clients, bad for work life balance",long hours
443,"Long hours sometimes demanding clients, bad for work life balance",demanding clients
443,"Long hours sometimes demanding clients, bad for work life balance",poor work life balance
444,Sometimes long hours. Mental health conversation seems more of a tick the box than genuine interest in balance.,long hours
444,Sometimes long hours. Mental health conversation seems more of a tick the box than genuine interest in balance.,lack of genuine interest in mental health balance
445,Large company so can be competitive,competitive work environment
446,Long hours. Not highly compensated.,long hours
446,Long hours. Not highly compensated.,lack of fair compensation
447,Long hours. Not highly compensated.,long hours
447,Long hours. Not highly compensated.,lack of fair compensation
448,senior management not experienced in delivery roles,senior management not experienced in delivery roles
449,Can be long hours sometimes,long hours
450,Sometimes not objective performance appraisal. Strongly depend on the project.,not objective performance appraisal
450,Sometimes not objective performance appraisal. Strongly depend on the project.,depends on the project
451,Long hours no overtime pay,long hours
451,Long hours no overtime pay,lack of overtime pay
452,Long hours no overtime pay,long hours
452,Long hours no overtime pay,lack of overtime pay
453,Low Salary compared to peers,low salary compared to peers
454,Long hours and large work loads but great for driven individuals,long hours
454,Long hours and large work loads but great for driven individuals,large work loads
455,comms from management could be better during a restructure,poor communication from management during restructuring
456,"Bureaucratic, lots of processes. very big",bureaucratic
456,"Bureaucratic, lots of processes. very big",excessive processes
457,Back office systems and processes aren't as effective as they could be,ineffective back office systems and processes
458,Lots of politics and red-tape which makes it really hard to get anything done.,lots of politics
458,Lots of politics and red-tape which makes it really hard to get anything done.,red-tape hindering productivity
459,Working on things that you dont feel make a difference,working on tasks without perceived impact
460,Can get too intense considering work load and fast pace,too intense work load
460,Can get too intense considering work load and fast pace,fast pace
461,How the treat people there,disrespectful treatment of employees
462,"High workload, not flexible on holiday.",high workload
462,"High workload, not flexible on holiday.",inflexible holiday policy
463,"- Lack of work life balance
- Not the best pay masters",lack of work life balance
463,"- Lack of work life balance
- Not the best pay masters",not the best pay masters
464,there needs to be more hiring of newly qualified staff,insufficient hiring of newly qualified staff
465,Projects away may not suit everyone's lifestyle,projects away may not be suitable for all lifestyles
466,Not necessarily the highest pay for top performers,lower pay for top performers
467,"Long hours, very bureaucratic, low salary",long hours
467,"Long hours, very bureaucratic, low salary",very bureaucratic
467,"Long hours, very bureaucratic, low salary",low salary
468,Can be stressful in busy season,stressful during busy season
469,Absolutely no work life balance,no work-life balance
470,Difficulty in switching projects and changing teams,difficulty switching projects
470,Difficulty in switching projects and changing teams,difficulty changing teams
471,Difficulty in switching projects and changing teams,difficulty switching projects
471,Difficulty in switching projects and changing teams,difficulty changing teams
472,"Pressure, how’s pro life balance, performance assessment",pressure
472,"Pressure, how’s pro life balance, performance assessment",poor work-life balance
472,"Pressure, how’s pro life balance, performance assessment",unfair performance assessment
473,Maybe not as well paid as other places but,lower compensation compared to other places
474,Salaries and bonuses can be below market,below market salaries and bonuses
475,Politics in the review process,politics in the review process
476,"- Deeply toxic culture where the Partners earn millions while Analysts and Consultants do all the work
- Many juniors neglect their physical health working long nights even overnight in many instances chasing the dream of becoming a partner, something only a tiny minority manage to achieve
- The style of management deep red / command and control",toxic culture
476,"- Deeply toxic culture where the Partners earn millions while Analysts and Consultants do all the work
- Many juniors neglect their physical health working long nights even overnight in many instances chasing the dream of becoming a partner, something only a tiny minority manage to achieve
- The style of management deep red / command and control",unequal work distribution
476,"- Deeply toxic culture where the Partners earn millions while Analysts and Consultants do all the work
- Many juniors neglect their physical health working long nights even overnight in many instances chasing the dream of becoming a partner, something only a tiny minority manage to achieve
- The style of management deep red / command and control",command and control management style
477,Long hours and bonuses are minimal which leads to you not feeling valued for working harder.,long hours
477,Long hours and bonuses are minimal which leads to you not feeling valued for working harder.,minimal bonuses
477,Long hours and bonuses are minimal which leads to you not feeling valued for working harder.,feeling undervalued
478,"Hard to get bonus, pay static",difficulty getting bonus
478,"Hard to get bonus, pay static",static pay
479,nothing to complain with it,
480,Difficult to find those resources and difficult to get effective help during COVID with remote working,difficulty finding resources
480,Difficult to find those resources and difficult to get effective help during COVID with remote working,lack of effective help during COVID
480,Difficult to find those resources and difficult to get effective help during COVID with remote working,difficulty getting help with remote work
481,Difficult to find those resources and difficult to get effective help during COVID with remote working,difficulty finding resources
481,Difficult to find those resources and difficult to get effective help during COVID with remote working,lack of effective help during COVID
481,Difficult to find those resources and difficult to get effective help during COVID with remote working,difficulty getting help with remote work
482,lack of clear management and boring work,lack of clear management
482,lack of clear management and boring work,boring work
483,Quite a rigid org structure meaning there is limited flexibility to move across the firm,rigid organizational structure
483,Quite a rigid org structure meaning there is limited flexibility to move across the firm,limited flexibility to transfer within the company
484,Sometimes there can be a lot of internal admin,excessive internal administration
485,Stress Busy Resourcing issue Pressing,stress
485,Stress Busy Resourcing issue Pressing,busy
485,Stress Busy Resourcing issue Pressing,resourcing issue
486,"Long hours
Demanding
One has to be adaptable and with thick skin",long hours
486,"Long hours
Demanding
One has to be adaptable and with thick skin",demanding
486,"Long hours
Demanding
One has to be adaptable and with thick skin",need for adaptability and resilience
487,Paid is minimum and pay rise is slow,minimum pay
487,Paid is minimum and pay rise is slow,slow pay raise
488,nothing but the coffee needs improving.,only the coffee needs improving
489,None that I can think of.,
490,The workload can be demanding,demanding workload
491,too stressful to work there,too stressful work environment
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",unrealistic financial growth
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",excessive workload
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",unfair appraisal system
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",long recruitment process
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",expensive personal expenses
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",lack of support for growth
