participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
161,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ESTP,46,59,59,62,36,50,57,53,33,8,50,53,33,33,43,53,47,57,47,3,0,1,-1,0,0,8,23,0,0,3,2,1,1,0,0,0,3,0,0,1,35,100000,5,2,3,78,0,0,0,0,0,0,0,8,0,0,0,0
162,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ENTP,71,22,64,49,56,90,79,63,22,5,73,53,27,43,100,40,83,60,47,0,-2,-2,2,3,2,4,20,1,1,0,-3,1,3,4,3,0,0,0,0,0,10,50000,0,-2,4,63,1,1,0,0,1,0,0,6,0,0,0,0
163,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISFJ,18,61,48,74,21,49,69,53,64,9,50,60,33,67,50,60,23,47,83,0,-1,-2,0,0,1,4,20,-1,-1,3,-2,1,2,4,1,3,1,0,1,2,40,225000,0,-2,5,34,1,0,0,0,1,0,0,7,1,3,0,0
164,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISFJ,29,48,44,67,28,54,82,71,35,2,67,73,27,53,60,67,37,47,63,3,1,1,2,1,0,4,35,2,1,2,1,1,4,4,3,0,3,0,0,3,40,175000,0,0,5,51,0,0,0,0,0,0,0,6,0,0,0,0
165,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,INTP,12,26,62,34,13,61,51,29,43,4,17,33,10,63,80,33,17,47,70,0,-2,-3,0,0,0,2,23,-2,-2,0,-3,1,3,0,3,3,1,0,1,0,30,50000,0,-3,2,37,0,0,0,0,1,0,0,7,0,0,0,1
166,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENFP,76,17,52,50,67,82,89,92,7,5,97,93,83,40,100,60,83,80,50,0,2,2,3,0,0,12,20,2,3,3,2,1,12,4,3,0,3,3,0,0,40,50000,5,-2,6,33,0,0,0,0,0,0,0,7,2,0,0,0
167,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFJ,73,37,41,88,76,94,82,89,85,8,97,90,90,67,87,70,77,90,50,2,-1,-2,-1,0,0,5,25,-2,-2,12,1,1,6,4,1,0,6,3,0,3,40,225000,5,-2,6,45,1,0,0,0,1,0,0,7,0,0,0,1
168,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISTJ,14,56,91,86,11,89,40,85,32,1,97,10,10,3,87,67,33,83,37,2,3,2,3,0,0,3,31,2,3,1,2,1,1,4,1,0,3,0,0,1,50,132500,5,3,4,53,0,0,0,0,0,0,1,7,0,0,0,1
169,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISTJ,14,66,57,77,17,54,63,68,25,9,63,67,20,30,63,70,17,43,77,2,3,2,3,0,0,5,25,2,1,12,-2,1,5,4,0,0,0,0,0,2,45,50000,5,2,2,71,0,0,0,0,0,0,0,8,0,0,0,0
170,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ESFP,46,47,50,52,38,61,69,42,39,9,43,73,27,43,70,63,47,40,80,3,2,2,-1,0,0,3,36,1,1,2,-1,1,2,4,1,0,0,3,1,0,45,100000,0,-2,5,42,0,0,0,1,0,0,0,7,0,0,0,0
171,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ISFJ,26,51,43,72,21,40,63,35,60,6,27,43,17,57,43,70,30,57,57,0,-2,-2,-3,0,0,2,21,-2,-2,0,-2,0,2,0,1,1,0,0,1,0,15,50000,0,3,2,38,0,0,0,0,0,0,0,9,0,0,0,0
172,Leo,0,0,0,0,0,1,0,0,0,0,0,0,INTP,32,37,54,34,28,89,93,72,40,1,87,73,20,57,87,63,67,47,70,0,-3,-2,-3,0,1,3,26,1,-1,0,1,1,2,4,3,1,0,0,1,1,45,50000,0,2,5,41,1,0,0,0,0,0,0,10,0,1,0,8
173,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ISTJ,8,60,77,91,7,56,49,90,93,4,97,33,40,97,40,67,10,70,77,0,-2,-3,1,0,0,2,24,-2,-3,0,3,1,1,4,1,3,0,0,3,3,50,72500,0,0,2,31,1,0,0,0,0,0,0,7,2,5,0,0
174,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISTP,30,49,69,62,31,42,49,58,18,8,50,37,23,23,43,57,37,60,40,0,2,2,2,0,0,3,31,1,2,1,1,1,3,4,0,0,0,0,0,1,35,17500,0,1,4,55,0,0,0,0,0,0,0,7,0,0,0,0
175,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,INFJ,23,16,33,74,18,76,83,86,68,2,87,87,43,60,83,77,47,43,80,2,-1,-2,0,0,0,3,22,-1,-2,3,-3,1,6,0,3,2,6,1,0,3,40,32500,5,-3,4,41,1,0,0,0,0,0,1,7,0,0,0,1
176,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INFJ,29,43,33,81,26,65,75,58,25,6,60,60,23,43,67,73,33,60,47,0,-1,1,-2,9,0,3,19,-1,1,0,1,1,1,0,3,1,0,0,0,1,30,72500,0,-2,5,39,1,0,0,0,0,0,0,7,0,0,0,0
177,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISFP,9,58,44,61,11,35,50,40,67,9,37,57,40,67,50,50,7,30,93,2,-2,-1,-2,0,0,2,19,1,-2,0,1,1,1,4,0,1,0,0,0,0,40,175000,0,-1,6,35,1,0,0,0,0,0,0,6,0,0,0,1
178,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ESFJ,52,46,42,74,61,76,71,67,50,7,57,73,57,70,67,67,70,50,47,2,1,2,2,0,0,6,31,1,1,6,2,1,9,4,3,1,1,1,1,2,40,132500,5,0,6,61,0,0,0,0,0,0,0,7,0,0,0,0
179,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ISTJ,18,48,58,66,21,75,68,65,28,9,57,60,10,33,73,63,30,47,83,3,3,3,3,0,0,4,34,2,3,0,2,1,3,4,0,0,1,1,1,1,6,132500,25,1,5,70,0,0,0,0,0,0,0,6,0,0,0,1
180,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ESTP,79,63,56,41,75,42,86,65,1,2,53,100,50,23,23,63,73,80,57,3,3,3,3,0,0,8,24,3,3,12,-3,1,5,4,3,0,1,0,1,0,40,175000,0,-2,5,42,0,0,0,0,0,0,0,6,0,0,0,0
181,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENTP,47,41,58,57,42,68,61,63,26,8,60,47,43,40,73,57,47,67,63,0,1,0,2,0,0,10,26,2,2,0,-2,1,5,0,3,0,0,0,0,0,20,4500,0,-1,2,44,0,0,0,0,0,0,0,8,0,0,0,0
182,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISTJ,28,47,79,83,35,67,58,86,35,6,90,47,30,23,87,93,27,83,37,3,3,2,3,0,0,7,23,2,2,12,-2,1,2,4,5,0,6,11,1,0,55,225000,5,-2,6,53,0,0,0,0,0,0,0,6,0,0,0,0
183,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISTJ,37,64,74,70,29,60,64,79,22,6,77,67,30,33,53,73,33,53,70,1,2,2,3,0,0,2,29,2,2,3,1,0,1,3,1,0,0,0,0,1,0,50000,0,2,5,74,0,0,0,0,0,0,1,7,1,0,0,0
184,Aries,0,1,0,0,0,0,0,0,0,0,0,0,INTJ,34,34,70,73,31,85,74,81,42,5,87,63,33,43,93,60,70,63,83,0,1,2,3,0,1,5,25,-1,2,0,2,0,2,0,0,0,0,0,0,1,10,17500,0,2,5,76,1,0,0,0,0,0,0,9,0,0,0,0
185,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,INTJ,12,24,69,79,21,88,49,78,58,5,87,37,13,40,93,53,40,60,53,0,1,2,-2,0,0,3,20,1,1,2,2,1,2,0,3,2,0,0,0,3,20,17500,0,3,2,40,0,0,0,0,0,0,0,8,0,0,0,0
186,Aries,0,1,0,0,0,0,0,0,0,0,0,0,INFJ,42,36,38,67,47,71,67,78,49,7,77,53,57,67,63,53,70,73,43,2,1,-1,-1,0,0,7,23,0,-1,1,-2,1,5,0,7,0,3,3,3,3,55,72500,0,-2,5,39,1,0,0,0,0,0,1,7,0,0,0,0
187,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ESFJ,52,68,40,78,44,33,82,56,18,2,53,77,27,33,33,70,33,47,77,3,1,2,3,1,0,4,35,-1,2,0,-3,1,4,4,0,0,3,3,1,2,35,50000,0,-3,2,59,1,0,0,0,0,0,0,7,0,0,0,0
188,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ESFJ,53,62,53,79,58,54,72,86,40,9,83,73,70,37,63,73,47,43,87,0,1,2,1,0,0,2,19,2,-1,12,1,1,3,2,3,1,3,3,3,1,45,100000,0,1,5,33,1,0,0,0,0,0,0,5,0,0,0,1
189,Libra,0,0,0,0,0,0,1,0,0,0,0,0,INFJ,38,32,32,70,43,78,97,79,38,5,80,83,27,57,93,57,63,57,53,1,2,2,1,0,3,6,36,1,1,0,2,1,9,4,3,0,1,1,0,2,25,72500,0,1,4,52,1,1,0,0,0,1,0,7,1,1,0,1
190,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,INTP,16,20,54,39,14,89,79,51,18,2,37,77,17,30,83,47,30,60,70,0,-1,-2,-2,1,3,2,26,-1,-1,3,3,0,1,0,0,0,0,0,0,2,30,17500,45,-1,2,48,0,0,0,0,1,0,0,6,0,0,0,4
191,Aries,0,1,0,0,0,0,0,0,0,0,0,0,INFP,39,38,51,59,40,65,89,71,43,6,70,70,30,50,63,67,40,63,63,2,1,2,2,0,0,5,23,1,1,2,1,1,3,4,3,0,1,0,1,1,4,72500,15,0,5,48,1,0,0,0,0,0,0,8,0,0,0,14
192,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISFJ,32,49,46,90,43,67,78,85,78,4,83,80,70,80,73,73,33,43,80,0,-2,1,-3,1,0,2,17,-1,-2,0,1,1,2,0,5,1,1,1,1,0,45,100000,0,0,6,27,1,0,0,0,1,0,0,4,2,1,0,0
193,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ISFP,27,50,52,52,26,51,63,53,29,9,53,67,37,37,67,47,30,60,70,3,3,2,2,0,0,10,25,2,2,1,2,1,2,4,1,0,6,11,1,0,40,100000,0,3,5,36,0,0,0,0,0,0,0,8,0,1,0,0
194,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISFJ,36,53,49,81,36,51,81,75,67,9,70,67,33,43,47,53,57,53,73,3,-2,2,-3,0,0,3,26,-1,-3,6,-1,1,0,0,0,0,0,0,0,3,40,50000,0,-2,5,68,1,0,0,0,0,1,0,5,0,0,0,0
195,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ESFJ,53,49,39,73,51,60,79,68,31,6,60,67,23,47,63,83,63,43,70,2,3,2,3,0,0,8,24,2,2,1,2,1,3,4,3,0,1,3,1,0,40,50000,0,-2,5,40,1,0,0,0,0,0,0,7,0,0,0,0
196,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ISTJ,19,69,64,77,22,47,61,75,44,9,70,50,37,27,50,60,23,43,77,2,0,2,-1,3,0,4,20,0,-1,0,2,1,2,0,1,2,1,0,0,3,60,100000,0,-2,5,42,1,0,0,0,0,0,1,5,0,0,0,0
197,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ISFJ,23,51,51,83,33,57,82,96,60,6,97,70,47,70,60,87,20,33,90,3,1,0,1,0,0,5,26,2,1,6,-3,1,3,4,5,1,5,1,0,1,40,100000,0,0,5,33,1,0,0,0,0,0,0,7,2,3,0,0
198,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISTJ,29,62,71,77,29,63,43,83,25,1,90,30,40,30,50,53,20,53,70,3,1,1,2,0,0,2,20,2,1,0,1,1,3,3,1,0,0,0,0,1,40,32500,0,1,3,51,0,0,0,0,0,0,0,7,0,0,0,0
199,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ESTJ,53,50,60,73,56,60,63,58,24,6,53,43,43,27,67,77,53,43,80,0,2,2,2,0,0,5,31,2,2,6,-2,1,1,4,3,0,0,0,0,1,40,132500,0,1,5,27,0,0,0,0,0,0,1,7,0,3,0,0
200,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ISFJ,27,54,37,80,31,61,92,74,51,9,80,90,23,60,63,77,33,23,93,1,1,2,1,0,9,5,40,-3,1,0,3,1,4,4,3,1,3,0,1,2,40,72500,0,2,3,40,1,0,0,0,0,0,1,6,0,0,0,0
201,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESFP,59,47,44,56,54,64,72,58,47,7,60,63,43,63,73,53,67,57,53,0,0,1,0,0,0,3,23,1,1,1,0,1,4,0,5,0,0,0,1,0,45,72500,0,-2,5,35,0,0,0,0,0,0,0,7,1,1,0,0
202,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISTJ,21,67,79,97,8,61,74,88,67,8,87,67,57,53,70,70,23,100,50,2,-1,-3,-2,0,2,5,54,-3,-1,0,1,1,3,0,3,3,0,0,0,2,60,100000,0,1,6,51,1,0,0,0,0,0,0,7,5,0,4,0
203,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISTJ,2,78,61,97,1,24,44,58,72,9,57,33,20,50,40,60,0,30,73,0,-3,-3,-3,0,0,1,28,-2,-3,0,-3,1,1,0,0,2,0,0,0,3,45,32500,0,-2,2,37,1,0,0,0,0,0,0,7,4,0,0,1
204,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISFP,41,46,43,63,40,57,72,72,33,5,70,70,43,40,80,63,27,43,67,2,1,2,-1,0,0,4,28,1,2,3,-3,1,4,4,0,0,0,3,0,0,28,72500,0,-2,8,75,1,0,0,0,0,0,0,9,0,0,0,0
205,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENFP,46,31,47,42,53,46,65,50,28,7,43,50,27,47,53,40,73,60,47,2,1,1,2,0,0,8,43,-1,2,0,-1,1,4,4,1,0,1,0,3,1,30,72500,0,0,4,52,1,0,0,0,0,0,0,7,0,0,0,1
206,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISFJ,29,74,33,83,31,28,94,90,43,2,87,97,30,47,33,63,30,43,83,2,1,3,1,0,0,13,21,3,-1,12,3,0,9,4,3,0,1,3,0,1,0,100000,15,3,5,61,1,0,0,0,0,0,0,7,0,1,0,0
207,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ISFJ,44,70,41,81,35,42,81,83,33,2,83,83,60,57,53,70,33,57,80,2,2,2,2,0,0,6,33,2,2,2,-3,1,4,4,1,1,3,1,0,0,40,72500,0,2,4,36,1,0,0,0,0,0,1,8,0,1,0,0
208,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ISFJ,41,58,41,77,32,46,92,88,26,2,90,87,17,37,50,53,33,43,80,3,3,3,3,1,0,3,26,2,1,3,1,1,2,0,3,0,3,0,0,2,38,50000,15,2,2,80,1,0,0,0,0,0,0,7,0,0,0,0
209,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ENFP,70,39,52,61,64,65,61,74,28,2,77,83,57,53,73,70,63,50,67,2,2,1,2,0,0,5,19,3,2,2,-2,1,4,4,0,0,0,0,1,0,40,100000,0,-1,5,38,1,0,0,0,0,0,0,8,0,0,0,0
210,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTP,18,34,60,53,21,64,61,58,61,9,47,53,40,47,73,70,27,53,77,0,0,0,-2,0,0,2,24,0,-2,1,-3,1,1,0,0,0,0,0,0,1,40,32500,5,-2,5,37,0,0,0,0,0,0,0,6,0,0,0,0
211,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,INTJ,44,43,60,71,47,81,69,76,43,8,80,67,37,33,77,70,53,70,37,2,2,1,2,0,0,6,27,-1,1,0,2,1,3,4,1,0,3,0,0,3,50,100000,0,2,2,44,1,0,0,0,0,0,0,6,0,0,0,0
212,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,INTJ,16,37,57,71,17,71,58,53,63,4,57,40,37,77,80,53,23,53,57,0,1,1,1,0,0,1,27,-1,1,3,-3,1,1,3,0,1,0,0,1,2,40,100000,5,-1,4,29,1,0,0,0,0,0,0,7,0,1,4,2
213,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,59,42,46,60,53,81,78,69,19,3,73,70,57,30,83,50,60,37,57,2,2,3,2,0,0,5,16,3,2,3,2,1,4,4,3,1,1,0,0,1,40,50000,0,-2,5,38,0,0,0,0,0,0,1,8,1,0,0,1
214,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ESFJ,53,50,43,74,44,64,82,85,31,7,83,77,27,43,67,63,70,50,80,3,2,2,1,0,0,3,25,2,1,6,2,1,3,4,0,0,0,11,0,0,25,132500,0,2,6,46,1,0,0,0,0,0,0,7,0,0,0,0
215,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENFP,73,42,46,62,68,72,81,65,17,7,60,70,33,40,83,60,77,63,40,1,2,2,2,0,0,6,28,1,2,0,-2,1,6,0,0,0,3,0,1,1,40,72500,0,-2,4,62,1,0,0,0,0,0,0,9,1,0,0,0
216,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ESTJ,62,53,54,71,61,64,68,69,31,2,63,80,57,37,60,67,50,53,67,3,2,2,-1,0,0,10,28,1,2,0,-3,0,1,4,0,0,0,11,0,0,0,100000,0,-2,6,70,0,0,0,0,0,0,0,7,0,0,0,0
217,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISTJ,33,49,72,70,36,38,50,68,15,9,57,30,10,10,57,57,27,30,60,0,-2,-2,-2,0,0,2,22,2,-1,0,3,0,0,0,0,0,0,0,0,0,0,50000,5,0,2,44,1,0,0,0,1,0,0,5,0,0,0,0
218,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,INFJ,43,32,49,72,49,78,71,82,26,1,83,67,47,47,80,47,57,60,60,2,1,0,0,0,0,5,18,2,2,12,-2,1,10,0,7,1,3,0,0,2,60,50000,0,-3,5,36,0,0,0,0,0,0,0,8,0,3,0,2
219,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFP,50,33,53,59,47,71,72,76,65,4,87,70,77,80,83,83,37,70,80,0,-1,2,1,0,0,2,22,2,1,3,-1,1,2,0,0,1,3,0,1,0,40,32500,0,0,2,28,0,0,0,0,0,0,0,8,0,0,0,0
220,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ISFJ,37,54,37,73,38,57,83,54,60,9,53,70,20,43,67,70,20,47,77,0,2,1,2,1,0,5,37,1,1,0,0,0,3,4,0,0,0,0,0,0,35,32500,0,-2,5,28,1,0,0,0,0,0,0,7,0,0,0,0
221,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ESTJ,69,53,71,78,65,64,51,65,35,7,67,57,57,17,50,63,80,70,63,3,2,2,2,0,0,5,20,2,2,3,-2,1,4,4,0,0,3,0,3,1,40,100000,0,-1,7,55,1,0,0,0,0,0,1,8,0,0,0,0
222,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,62,28,82,43,64,81,51,67,19,7,60,47,30,17,90,47,80,80,30,3,3,1,2,0,0,10,32,1,2,3,-3,1,1,4,5,0,0,0,3,0,60,100000,5,0,5,37,0,0,0,0,0,0,0,7,0,0,0,0
223,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISTJ,39,64,56,76,40,49,60,75,51,6,77,67,47,53,47,80,53,60,73,3,1,3,1,0,1,3,25,1,2,6,-3,1,3,1,0,1,1,0,1,1,40,100000,0,1,5,38,0,0,0,0,0,0,0,6,0,0,0,0
224,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,62,13,23,51,76,89,92,68,49,2,67,90,53,73,93,63,80,63,67,1,2,-1,0,0,0,0,30,1,-1,12,2,1,3,1,1,1,3,0,3,2,35,72500,25,-2,5,51,1,0,0,0,0,0,1,5,0,3,0,0
225,Aries,0,1,0,0,0,0,0,0,0,0,0,0,INFJ,26,26,40,68,18,83,96,15,57,2,7,83,7,63,80,47,50,40,53,0,-1,2,2,1,3,2,21,-1,-2,3,-3,1,2,2,3,0,3,0,0,2,40,17500,0,-3,2,32,1,0,0,0,0,0,0,8,0,0,0,0
226,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ISFJ,7,49,31,72,1,47,81,56,56,9,47,77,3,70,60,80,13,37,87,3,-3,0,-3,1,0,1,26,-2,0,3,-1,0,2,0,0,1,0,1,0,2,0,32500,5,3,3,80,1,0,0,1,0,0,1,6,0,0,0,0
227,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ESTP,60,47,58,58,61,68,72,67,29,8,63,67,50,40,60,50,60,73,47,3,2,2,3,0,0,10,23,2,2,6,-2,1,5,4,1,0,3,8,0,1,40,72500,0,0,5,52,0,0,0,0,0,0,0,7,0,0,0,0
228,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISTJ,7,44,54,72,11,58,44,71,54,4,73,33,23,67,60,57,13,43,73,0,0,1,-1,0,0,5,32,0,2,0,2,1,1,0,0,1,0,0,0,0,25,50000,0,1,2,32,1,0,0,0,0,0,0,7,0,0,0,0
229,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ESTP,56,47,56,62,50,60,76,65,40,7,63,67,47,53,57,57,63,50,57,2,1,2,1,1,0,6,29,-1,2,0,1,0,1,4,0,0,0,0,0,0,20,50000,0,1,4,64,0,0,0,0,0,0,0,7,0,0,0,0
230,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INFP,0,39,43,42,3,78,83,47,72,9,37,73,13,67,63,50,20,30,97,0,-3,-3,-3,1,2,3,25,-3,-3,2,3,0,3,0,3,1,0,0,0,4,30,72500,0,0,2,42,1,0,0,0,1,0,0,7,0,0,0,0
231,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,INFJ,33,24,50,64,28,82,76,78,32,5,80,53,33,43,90,57,60,67,43,2,2,2,2,0,0,3,25,2,2,6,2,1,3,4,1,0,1,0,1,4,40,50000,5,2,5,42,0,0,0,0,0,0,0,7,0,0,0,0
232,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ISFJ,42,59,42,80,46,49,81,79,50,6,80,80,33,50,50,80,43,57,73,2,3,2,2,1,1,8,33,3,2,3,1,1,4,3,3,0,3,3,0,1,45,72500,0,0,7,44,1,0,0,0,0,0,0,8,0,0,0,0
233,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTJ,56,56,73,74,54,65,47,51,54,6,50,60,27,27,37,73,53,63,70,3,2,2,3,0,0,8,28,1,3,2,3,1,3,4,3,0,3,11,3,2,40,175000,0,1,5,51,0,0,0,0,0,0,1,7,0,0,0,1
234,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ESFJ,51,66,42,91,58,51,78,90,43,1,93,73,60,57,60,77,47,47,77,2,2,2,3,0,0,6,21,2,2,3,-3,1,3,4,5,0,3,0,0,0,10,50000,0,0,6,56,1,0,0,0,0,0,1,7,0,0,0,0
235,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INTJ,3,33,79,77,6,78,43,89,44,1,97,27,20,30,80,53,7,60,70,0,0,1,0,0,0,6,21,1,1,1,-3,1,4,0,0,0,0,0,3,0,40,72500,0,-1,2,36,0,0,0,0,0,0,0,7,0,0,0,0
236,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,INFP,13,30,27,48,8,63,93,35,51,2,30,90,0,80,77,43,30,30,77,2,0,0,2,3,2,4,33,-1,1,3,1,1,5,4,3,3,1,0,0,4,30,50000,15,-3,5,41,0,0,0,0,0,0,1,8,0,0,0,0
237,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,61,41,46,58,71,63,65,79,33,3,80,47,63,40,70,47,67,70,43,0,1,0,1,0,0,2,24,1,2,3,2,1,4,0,1,0,1,0,0,1,25,50000,0,3,2,40,1,0,0,0,0,0,0,7,0,0,0,0
238,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESFJ,64,52,50,86,57,60,85,92,13,1,97,83,53,40,47,60,63,67,83,3,2,2,3,0,0,5,21,3,3,6,2,1,5,3,7,0,6,0,0,1,45,100000,15,1,5,55,1,0,0,0,1,0,0,7,0,0,0,0
239,Aries,0,1,0,0,0,0,0,0,0,0,0,0,INFJ,1,34,26,72,3,74,82,56,50,9,53,73,7,57,87,67,17,20,97,0,-2,-3,-1,1,0,3,22,2,2,6,-3,0,1,0,3,1,0,8,0,2,30,50000,0,-3,5,44,1,0,0,0,1,0,0,5,0,0,0,1
240,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INFP,29,37,51,60,29,74,67,43,40,5,40,63,27,40,83,67,33,40,73,0,1,1,0,0,0,6,19,2,1,16,-2,1,6,0,7,0,1,0,1,0,40,132500,0,-2,6,38,0,0,0,0,0,1,0,8,0,0,0,0
241,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISTP,34,47,69,40,18,58,56,63,18,9,67,53,20,10,70,40,33,53,87,2,2,2,3,0,0,2,19,2,3,6,-3,1,3,0,3,1,3,0,1,2,45,50000,0,-3,5,39,1,0,0,0,0,1,0,7,0,0,0,2
242,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENTJ,81,43,57,80,85,79,85,96,15,1,100,93,70,47,83,67,87,80,47,3,1,0,1,3,0,10,26,-1,3,6,-1,0,5,4,3,0,3,0,0,2,0,50000,15,-2,3,77,1,0,0,0,0,0,0,6,0,0,0,0
243,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INFP,36,34,40,54,43,63,67,56,39,3,57,47,37,43,67,53,33,53,40,3,2,2,1,0,0,6,22,2,2,2,-2,1,10,4,0,0,3,1,0,1,20,225000,5,-2,5,52,1,0,0,0,0,0,1,6,0,0,0,0
